DTW;RMSE;RdR_SCORE;MODEL_NAME
23980.910155680005;5963.689102935591;0.5499372778257946;BiLSTM
59099.43004418195;12063.62064146297;0.0;RandomWalk
28763.794453485614;6566.140281254707;0.4845028036213548;Seq2Seq
25291.421069040345;5395.50242221926;0.5623995298165481;CNN-BiLSTM
26127.755853350147;7362.817855894611;0.47378469268788986;TCN-BiLSTM
32566.735655503366;7778.044457607117;0.4020990063837259;MDN-BiLSTM
21378.665344299214;5236.327718779209;0.6020999916315517;Attention-BiLSTM
18676.12331688579;4819.571522476317;0.6422376213856562;Seq2SeqAttention-BiLSTM
25233.412769653336;6220.9908706768565;0.5286763393204736;MultiHeadAttention-BiLSTM
19189.193909613314;4510.296433777931;0.6507153826893901;Time2Vec-BiLSTM
24601.22437726622;7009.113151151362;0.5013596080985189;Time2Vec-Transformer
21888.51366597217;5123.3936229770825;0.6024672836413918;AverageEnsemble
